first_use_date,fake_user_id,last_use_date,active_days,workout_times,workout_per_day,volume_total,volume_per_day,intensity_total,intensity_per_day,favorite_exercise,most_recent_exercise,stay_days,active_extent,last_to_now,high_volume_user,high_intensity_user,high_active_user,churn_user
2020-04-13,fake_id_593,2020-07-10,40,40,1.0,997,24.925,2647.8486088305467,66.19621522076366,Dumbbell Row,Dumbbell Shoulder Press,89,0.449438202247191,37,0,0,1,0.0
2020-04-13,fake_id_594,2020-07-10,22,22,1.0,1170,53.18181818181818,5436.311019586142,247.10504634482461,Barbell Bench Press,Barbell Bench Press,89,0.24719101123595505,37,1,1,0,0.0
2020-04-14,fake_id_595,2020-07-09,28,28,1.0,1207,43.107142857142854,857.2905988333592,30.617521386905686,Dumbbell Bent Over Row,Dumbbell Bent Over Row,87,0.3218390804597701,38,0,0,0,0.0
2020-04-12,fake_id_596,2020-07-08,29,30,1.0344827586206897,1921,66.24137931034483,13784.5,475.32758620689657,Back Squat,Back Squat,88,0.3409090909090909,39,1,1,0,0.0
2020-04-15,fake_id_598,2020-04-15,1,1,1.0,28,28.0,684.9252932478161,684.9252932478161,Deadlift,Deadlift,1,1.0,123,0,1,0,0.0
2020-05-06,fake_id_600,2020-07-10,13,13,1.0,558,42.92307692307692,1115.8385572116738,85.83373517012875,Dumbbell Row,Dumbbell Bench Press,66,0.19696969696969696,37,0,0,0,0.0
2020-05-26,fake_id_602,2020-05-26,1,1,1.0,40,40.0,63.50300732098956,63.50300732098956,Dumbbell Bench Press,Dumbbell Bench Press,1,1.0,82,0,0,0,1.0
2020-04-27,fake_id_603,2020-05-14,4,4,1.0,359,89.75,1467.3730620242948,366.8432655060737,Back Squat,Back Squat,18,0.2222222222222222,94,1,1,0,0.0
2020-05-20,fake_id_606,2020-05-22,2,2,1.0,71,35.5,106.59433371737533,53.29716685868767,Dumbbell Row,Dumbbell Lunge,3,0.6666666666666666,86,0,0,0,0.0
2020-04-13,fake_id_613,2020-04-14,2,2,1.0,70,35.0,217.7245965291071,108.86229826455354,Dumbbell Lunge,Dumbbell Row,2,1.0,124,0,0,0,0.0
2020-04-17,fake_id_614,2020-06-05,7,7,1.0,309,44.142857142857146,419.25,59.892857142857146,Dumbbell Bent Over Row,Dumbbell Row,50,0.14,72,0,0,0,1.0
2020-04-11,fake_id_621,2020-07-05,23,23,1.0,890,38.69565217391305,459.2628208035848,19.967948730590646,Dumbbell Lunge,Dumbbell Bent Over Row,86,0.26744186046511625,42,0,0,0,0.0
2020-04-14,fake_id_625,2020-06-25,5,5,1.0,195,39.0,120.20212100044456,24.040424200088914,Dumbbell Bench Press,Dumbbell Bench Press,73,0.0684931506849315,52,0,0,0,1.0
